"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2260","Pipistrellus pygmaeus",42.560001,-5.5,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2261","Pipistrellus pygmaeus",42.740002,-6.5,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2262","Pipistrellus pipistrellus",37.599998,-5.78,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2263","Pipistrellus pipistrellus",41.68,-1.98,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2264","Pipistrellus pipistrellus",39.509998,-1.08,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2265","Pipistrellus pipistrellus",41.23,-2.34,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2266","Pipistrellus pipistrellus",39.580002,-0.26,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2267","Pipistrellus pipistrellus",41.59,-4.26,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2268","Pipistrellus pipistrellus",41.759998,-4.98,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2007,NA,NA,NA,NA,NA
"2269","Pipistrellus pygmaeus",42.84,-4.9,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2270","Pipistrellus pygmaeus",37.060001,-6.36,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2271","Pipistrellus pygmaeus",40.310001,-5.41,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2272","Pipistrellus pygmaeus",43.310001,-3.31,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2273","Pipistrellus pygmaeus",41.860001,-4.27,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2274","Pipistrellus pygmaeus",42.189999,-6.03,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2275","Pipistrellus pygmaeus",40.59,-4.95,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2276","Pipistrellus pygmaeus",39.490002,-6.03,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
"2277","Pipistrellus pygmaeus",42.48,-6.75,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2007,NA,NA,NA,NA,NA
