"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"12279","Decticus albifrons",36.97112,-25.1604,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12280","Gryllus bimaculatus",36.94842,-25.14972,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12281","Locusta migratoria",36.95734,-25.14389,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12282","Oedipoda caerulescens",36.97571,-25.16591,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12283","Oedipoda caerulescens",36.97121,-25.16602,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12284","Platycleis falx",36.97571,-25.16591,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12285","Gryllus bimaculatus",36.97086,-25.14356,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12286","Phaneroptera nana",36.98455,-25.15446,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12287","Eumodicogryllus bordigalensis",36.96635,-25.14367,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12288","Decticus albifrons",36.95726,-25.13827,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12289","Phaneroptera nana",36.96653,-25.1549,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12290","Platycleis falx",36.96662,-25.16051,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12291","Locusta migratoria",36.95743,-25.1495,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12292","Oedipoda caerulescens",36.94383,-25.14421,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12293","Oedipoda caerulescens",36.98446,-25.14884,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12294","Oedipoda caerulescens",36.97563,-25.16029,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12295","Locusta migratoria",36.97987,-25.14334,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12296","Oedipoda caerulescens",36.97554,-25.15468,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12297","Gryllus bimaculatus",36.96194,-25.14939,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12298","Platycleis falx",36.97987,-25.14334,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12299","Gryllus bimaculatus",36.95726,-25.13827,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12300","Platycleis falx",36.95734,-25.14389,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12301","Eumodicogryllus bordigalensis",36.97528,-25.13783,"Eumodicogryllus bordigalensis (Latreille, 1804)","Gryllidae","Eumodicogryllus","Eumodicogryllus bordigalensis",1964,NA,NA,NA,NA,NA
"12302","Locusta migratoria",36.97121,-25.16602,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12303","Decticus albifrons",36.96635,-25.14367,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12304","Locusta migratoria",36.96627,-25.13805,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12305","Platycleis falx",36.96627,-25.13805,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12306","Decticus albifrons",36.97996,-25.14895,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12307","Locusta migratoria",36.95726,-25.13827,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12308","Platycleis falx",36.95743,-25.1495,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12309","Oedipoda caerulescens",36.95743,-25.1495,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12310","Platycleis falx",36.97996,-25.14895,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12311","Decticus albifrons",36.97536,-25.14345,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12312","Decticus albifrons",36.96185,-25.14378,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12313","Gryllus bimaculatus",36.95734,-25.14389,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12314","Phaneroptera nana",36.96185,-25.14378,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12315","Locusta migratoria",36.98455,-25.15446,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12316","Phaneroptera nana",36.97987,-25.14334,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12317","Gryllus bimaculatus",36.97571,-25.16591,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12318","Locusta migratoria",36.95717,-25.13266,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12319","Locusta migratoria",36.96635,-25.14367,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12320","Gryllus bimaculatus",36.97121,-25.16602,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12321","Oedipoda caerulescens",36.97112,-25.1604,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12322","Decticus albifrons",36.96662,-25.16051,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12323","Gryllus bimaculatus",36.95293,-25.14961,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
"12324","Oedipoda caerulescens",36.96194,-25.14939,"Oedipoda caerulescens (Linnaeus, 1758)","Acrididae","Oedipoda","Oedipoda caerulescens",1964,NA,NA,NA,NA,NA
"12325","Platycleis falx",36.97563,-25.16029,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12326","Decticus albifrons",36.97987,-25.14334,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12327","Platycleis sabulosa",36.94842,-25.14972,"Platycleis sabulosa Azam, 1901","Tettigoniidae","Platycleis","Platycleis sabulosa",1964,NA,NA,NA,NA,NA
"12328","Platycleis falx",36.97528,-25.13783,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12329","Decticus albifrons",36.97068,-25.13233,"Decticus albifrons (Fabricius, 1775)","Tettigoniidae","Decticus","Decticus albifrons",1964,NA,NA,NA,NA,NA
"12330","Locusta migratoria",36.97563,-25.16029,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12331","Platycleis falx",36.94842,-25.14972,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12332","Phaneroptera nana",36.95743,-25.1495,"Phaneroptera nana Fieber, 1853","Tettigoniidae","Phaneroptera","Phaneroptera nana",1964,NA,NA,NA,NA,NA
"12333","Platycleis falx",36.96618,-25.13244,"Platycleis falx falx","Tettigoniidae","Platycleis","Platycleis falx",1964,NA,NA,NA,NA,NA
"12334","Locusta migratoria",36.97077,-25.13794,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",1964,NA,NA,NA,NA,NA
"12335","Gryllus bimaculatus",36.97068,-25.13233,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",1964,NA,NA,NA,NA,NA
